ID number,Surname,Faculty,Origin,Course module viewed,Grade overview report viewed,Grade user report viewed,Message sent,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,Sessions viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
CHEM262_307,CHEM262_Masked_307,Veterinary Medicine,"web, ws",35,0,1,0,4,4,5,50,0,0,0,0,0,0,0,0,0,0,2,13,26,35,23,0,0,0,99,49,30,79
CHEM262_308,CHEM262_Masked_308,Pharmacy ,web,52,0,8,0,4,4,4,71,0,0,0,0,0,0,0,0,0,0,1,23,34,17,28,39,1,0,143,50,24,74
CHEM262_309,CHEM262_Masked_309,Agriculture ,web,40,0,4,0,3,3,3,34,0,0,0,0,0,0,0,0,0,2,1,24,26,9,25,0,0,0,87,22,18,40
CHEM262_310,CHEM262_Masked_310,Nurse,"web, ws",34,0,1,0,4,2,10,51,0,0,0,0,0,0,0,0,0,0,0,29,33,21,16,3,0,0,102,49,21,70
CHEM262_311,CHEM262_Masked_311,Agriculture ,web,66,0,1,0,4,4,4,47,0,0,0,0,0,0,0,0,0,5,14,14,41,26,26,0,0,0,126,49,27,76
CHEM262_312,CHEM262_Masked_312,Applied Medical Sciences,web,37,0,3,0,4,4,6,120,0,0,0,0,0,0,0,0,0,0,1,43,44,56,28,2,0,0,174,49,33,82
CHEM262_313,CHEM262_Masked_313,Nurse,web,38,0,0,0,4,4,4,72,0,0,0,0,0,0,0,0,0,0,0,14,43,40,25,0,0,0,122,49,24,73
CHEM262_314,CHEM262_Masked_314,Applied Medical Sciences,web,37,0,0,0,4,4,5,88,0,0,0,0,0,0,0,0,0,0,6,31,26,42,33,0,0,0,138,49,27,76
CHEM262_315,CHEM262_Masked_315,Engineering,web,22,0,1,0,4,2,5,93,0,0,0,0,0,0,0,0,0,0,1,28,36,33,29,0,0,0,127,49,38,86
CHEM262_316,CHEM262_Masked_316,Pharmacy ,web,27,0,0,0,4,4,4,34,0,0,0,0,0,0,0,0,0,0,0,12,19,23,19,0,0,0,73,49,30,79
CHEM262_317,CHEM262_Masked_317,Veterinary Medicine,web,35,0,1,0,4,4,5,79,0,0,0,0,0,0,0,0,0,0,1,22,25,49,26,5,0,0,128,44,35,79
CHEM262_318,CHEM262_Masked_318,Pharmacy ,"web, ws",214,3,12,0,4,4,3,108,0,0,0,0,0,0,0,0,0,6,43,57,114,50,38,16,22,2,348,49,44,92
CHEM262_319,CHEM262_Masked_319,Pharmacy ,web,35,0,2,0,4,4,4,52,0,0,0,0,0,0,0,0,0,0,0,14,41,26,18,2,0,0,101,49,30,79
CHEM262_320,CHEM262_Masked_320,Agriculture ,web,78,0,0,0,4,4,3,86,0,0,0,0,0,0,0,0,0,0,2,37,69,42,25,0,0,0,175,45,27,72
CHEM262_321,CHEM262_Masked_321,Nurse,web,152,0,0,0,4,4,4,38,1,0,0,0,0,0,0,0,0,5,15,56,73,27,21,6,0,0,203,49,29,77
CHEM262_322,CHEM262_Masked_322,Nurse,web,51,0,0,0,4,4,4,32,0,0,0,0,0,0,0,0,0,0,4,11,8,16,14,42,0,0,95,47,24,71
CHEM262_323,CHEM262_Masked_323,Pharmacy ,web,77,0,0,0,4,4,6,156,0,0,0,0,0,0,0,0,0,0,0,50,99,45,40,9,2,2,247,49,50,98
CHEM262_324,CHEM262_Masked_324,Engineering,web,32,0,1,0,4,4,4,46,0,0,0,0,0,0,0,0,0,0,1,13,23,32,20,0,2,0,91,49,11,59
CHEM262_325,CHEM262_Masked_325,Science and Arts,web,60,0,4,0,4,4,5,126,8,0,0,0,0,0,0,0,0,11,10,53,51,46,35,5,0,0,211,49,27,76
CHEM262_326,CHEM262_Masked_326,Pharmacy ,web,43,0,0,0,5,5,6,45,2,0,0,0,0,0,0,0,0,1,1,14,17,25,20,28,0,0,106,49,26,74
CHEM262_327,CHEM262_Masked_327,Veterinary Medicine,"web, ws",41,0,12,0,4,4,4,74,0,0,0,0,0,0,0,0,0,0,1,30,33,44,31,0,0,0,139,49,30,79
CHEM262_328,CHEM262_Masked_328,Science and Arts,web,35,0,0,0,4,4,6,64,0,0,0,0,0,0,0,0,0,1,2,19,32,35,24,0,0,0,113,49,30,79
CHEM262_329,CHEM262_Masked_329,Applied Medical Sciences,"web, ws",124,0,8,0,4,4,6,79,0,0,0,0,0,0,0,0,0,0,2,36,116,34,33,4,0,0,225,49,42,91
CHEM262_330,CHEM262_Masked_330,Science and Arts,"web, ws",23,0,0,0,4,4,6,86,0,0,0,0,0,0,0,0,0,0,0,36,38,23,26,0,0,0,123,49,26,74
CHEM262_331,CHEM262_Masked_331,Science and Arts,"web, ws",33,0,2,0,4,4,10,75,0,0,0,0,0,0,0,0,0,0,0,10,44,39,28,0,0,7,128,49,44,92
CHEM262_332,CHEM262_Masked_332,Applied Medical Sciences,web,35,0,0,0,4,4,4,42,0,0,0,0,0,0,0,0,0,0,2,21,19,4,23,20,0,0,89,49,30,79
CHEM262_333,CHEM262_Masked_333,Science and Arts,ws,18,0,3,0,4,4,5,59,0,0,0,0,0,0,0,0,0,0,0,11,26,25,30,1,0,0,93,49,29,77
CHEM262_334,CHEM262_Masked_334,Veterinary Medicine,web,14,0,8,0,4,4,4,47,0,0,0,0,0,0,0,0,0,0,0,10,25,21,20,4,1,0,81,49,35,83
CHEM262_335,CHEM262_Masked_335,Veterinary Medicine,web,26,0,2,0,4,4,5,57,1,0,0,0,0,0,0,0,0,2,1,27,22,21,25,1,0,0,99,49,29,77
CHEM262_336,CHEM262_Masked_336,Pharmacy ,web,34,0,3,0,4,4,5,58,0,0,0,0,0,0,0,0,0,0,1,23,25,30,25,0,0,4,108,49,24,73
CHEM262_337,CHEM262_Masked_337,Agriculture ,web,23,0,1,0,4,4,6,48,0,0,0,0,0,0,0,0,0,0,0,15,18,30,23,0,0,0,86,47,17,64
CHEM262_338,CHEM262_Masked_338,Pharmacy ,"web, ws",64,0,4,0,4,4,6,112,0,0,0,0,0,0,0,0,0,2,1,31,71,45,27,7,0,10,194,49,35,83
CHEM262_339,CHEM262_Masked_339,Pharmacy ,web,60,0,0,0,4,4,6,118,0,0,0,0,0,0,0,0,0,1,2,42,66,49,28,4,0,0,192,49,35,83
CHEM262_340,CHEM262_Masked_340,Agriculture ,"web, ws",86,0,27,0,4,4,7,85,1,0,0,0,0,0,0,0,0,0,0,17,79,58,34,26,0,0,214,41,20,60
CHEM262_341,CHEM262_Masked_341,Science and Arts,web,26,0,1,0,4,4,5,67,1,0,0,0,0,0,0,0,0,3,1,11,17,57,18,1,0,0,108,49,30,79
CHEM262_342,CHEM262_Masked_342,Pharmacy ,ws,32,0,2,0,4,4,10,114,0,0,0,0,0,0,0,0,0,0,1,33,46,54,32,0,0,0,166,49,26,74
