ID number,Surname,Faculty,Origin,Course module viewed,Discussion viewed,Grade overview report viewed,Grade user report viewed,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
BT107_474,BT107_Masked_474,Agriculture,web,58,1,0,4,3,3,4,12,0,0,0,0,0,0,0,14,15,1,7,9,2,16,19,1,1,85,36,30,66
BT107_475,BT107_Masked_475,Applied Medical Sciences,"web, ws",41,0,0,2,3,3,3,17,0,0,0,0,0,0,0,1,27,1,10,8,1,0,19,2,0,69,43,24,67
BT107_476,BT107_Masked_476,Applied Medical Sciences,web,51,1,0,0,3,3,3,27,0,0,0,0,0,0,0,0,34,0,10,10,0,6,22,4,2,88,38,20,58
BT107_477,BT107_Masked_477,Pharmacy,web,122,0,0,3,4,4,3,16,0,0,0,0,0,0,1,0,13,0,51,30,3,1,35,17,1,152,40,19,59
BT107_478,BT107_Masked_478,Pharmacy,"web, ws",58,4,0,0,3,3,3,11,0,0,0,0,0,0,1,5,19,1,4,14,2,6,21,2,7,82,46,37,83
BT107_479,BT107_Masked_479,Medicine,"web, ws",22,7,0,15,3,3,0,19,0,0,0,0,0,0,1,0,18,0,0,13,0,1,20,8,8,69,42,39,81
BT107_480,BT107_Masked_480,Agriculture,web,48,3,0,0,2,2,2,6,0,0,0,0,0,0,0,1,3,0,8,25,1,2,20,0,3,63,35,27,62
BT107_481,BT107_Masked_481,Medicine,"web, ws",33,5,0,2,3,3,3,19,0,0,0,0,0,0,4,2,35,0,1,11,1,3,10,0,1,68,50,49,99
BT107_482,BT107_Masked_482,Pharmacy,"web, ws",71,7,0,0,3,3,2,21,0,0,0,0,0,0,0,0,56,0,8,11,4,1,15,1,11,107,46,45,91
BT107_483,BT107_Masked_483,Engineering,web,42,5,0,0,3,3,4,24,0,0,0,0,0,0,0,1,40,3,7,8,5,2,12,0,3,81,38,19,57
BT107_484,BT107_Masked_484,Science and Arts,"web, ws",110,9,0,3,3,3,5,13,0,0,0,0,0,0,0,8,33,2,30,22,3,22,21,1,4,146,45,42,87
BT107_485,BT107_Masked_485,Medicine,"web, ws",85,7,0,2,3,3,3,14,0,0,0,0,0,0,3,2,18,3,13,22,16,17,21,1,1,117,35,29,64
BT107_486,BT107_Masked_486,Pharmacy,"web, ws",25,1,0,1,3,3,3,18,0,0,0,0,0,0,1,1,23,0,0,7,3,0,18,0,1,54,48,33,81
BT107_487,BT107_Masked_487,Pharmacy,"web, ws",16,1,1,2,3,3,2,28,0,0,0,0,0,0,0,0,27,0,2,8,0,1,14,3,1,56,43,48,91
BT107_488,BT107_Masked_488,Applied Medical Sciences,web,15,1,0,1,3,3,4,12,0,0,0,0,0,0,0,0,11,0,1,8,1,3,14,0,1,39,42,33,75
BT107_489,BT107_Masked_489,Science and Arts,"web, ws",49,3,1,1,2,2,1,6,0,0,0,0,0,0,0,0,1,0,5,21,2,0,32,2,2,65,38,43,81
BT107_490,BT107_Masked_490,Applied Medical Sciences,"web, ws",26,1,0,3,3,3,2,13,0,0,0,0,0,0,0,0,12,0,2,14,0,0,21,1,1,51,37,30,67
BT107_491,BT107_Masked_491,Applied Medical Sciences,"web, ws",53,3,0,3,3,3,0,18,0,0,0,0,0,0,0,0,26,0,11,7,6,2,27,3,1,83,38,24,62
