ID number,Surname,Faculty,Origin,A file has been uploaded.,A submission has been submitted.,Comment created,Course module viewed,Discussion viewed,Grade overview report viewed,Grade user report viewed,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,Submission created.,Submission form viewed.,Submission updated.,The status of the submission has been viewed.,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
PHY103_30,PHY103_Masked_58,Pharmacy,"web, ws",3,3,0,8,1,0,1,1,1,1,19,2,32,1,17,0,0,0,0,0,0,0,0,0,0,0,0,5,2,57,26,0,90,40,36,76
PHY103__30,PHY103_Masked_59,Pharmacy,"web, ws",1,1,0,13,6,0,0,1,1,0,127,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,136,0,156,42,42,84
PHY103_31,PHY103_Masked_60,Agriculture,"web, ws",1,1,0,13,2,0,0,1,1,3,121,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,138,0,151,27,23,50
PHY103__31,PHY103_Masked_61,Agriculture,web,1,1,0,45,3,0,0,1,1,1,38,1,3,0,11,0,0,0,0,0,0,0,0,0,0,4,10,3,16,17,53,3,106,41,32,73
PHY103_32,PHY103_Masked_62,Pharmacy,"web, ws",3,3,0,15,6,0,0,2,2,2,67,1,17,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,59,67,1,130,45,20,65
PHY103__32,PHY103_Masked_63,Pharmacy,web,2,2,0,7,3,0,0,1,1,2,96,1,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,107,0,126,43,20,63
PHY103_33,PHY103_Masked_64,Applied Medical Sciences,web,2,2,0,23,8,0,0,1,1,1,174,2,5,0,20,0,0,0,0,0,0,0,0,1,0,5,3,0,9,24,197,0,239,33,26,59
PHY103__33,PHY103_Masked_65,Pharmacy,web,3,3,0,20,5,0,0,1,1,1,66,1,7,2,13,0,0,0,0,0,0,0,0,0,0,0,0,7,2,24,90,0,123,26,50,76
PHY103_34,PHY103_Masked_66,Pharmacy,"web, ws",1,1,0,50,5,0,3,1,1,0,50,1,0,0,22,0,0,0,0,0,0,0,0,1,0,0,12,1,11,23,76,11,135,46,0,0
PHY103__34,PHY103_Masked_67,Applied Medical Sciences,"web, ws",1,1,0,6,4,0,0,1,1,1,167,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,175,0,187,31,24,55
PHY103_35,PHY103_Masked_68,Agriculture,web,1,1,0,7,2,0,0,1,1,2,98,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,107,0,130,31,19,50
PHY103__35,PHY103_Masked_69,Pharmacy,"web, ws",1,1,0,4,3,0,6,1,1,3,151,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,2,12,165,1,183,37,22,59
PHY103_36,PHY103_Masked_70,Applied Medical Sciences,web,2,2,0,26,3,0,0,1,1,1,211,1,9,1,12,0,0,0,0,0,0,0,0,0,0,0,8,0,2,31,229,0,270,32,22,54
PHY103__36,PHY103_Masked_71,Agriculture,"web, ws",5,5,0,39,5,0,1,1,1,1,19,3,28,2,26,0,0,0,0,0,0,0,0,0,0,4,8,0,2,71,45,6,136,30,42,72
PHY103_37,PHY103_Masked_72,Pharmacy,web,0,0,0,20,2,0,0,1,1,1,68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,82,0,94,35,28,63
PHY103__37,PHY103_Masked_73,Agriculture,web,1,1,0,11,4,0,2,1,1,1,80,1,8,0,12,0,0,0,0,0,0,0,0,0,0,2,7,0,7,21,86,0,123,35,22,57
PHY103_38,PHY103_Masked_74,Agriculture,"web, ws",1,1,0,44,3,0,0,1,1,2,79,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,18,4,12,10,98,1,144,40,28,68
PHY103__38,PHY103_Masked_75,Agriculture,web,2,2,0,17,6,0,1,1,1,2,46,1,11,1,11,0,0,0,0,0,0,0,0,0,1,3,3,2,2,32,58,1,102,29,26,55
PHY103_39,PHY103_Masked_76,Pharmacy,"web, ws",3,3,0,41,3,0,0,1,1,1,63,3,0,0,5,0,0,0,0,0,0,0,0,0,0,11,4,11,9,16,73,0,124,41,34,75
PHY103__39,PHY103_Masked_77,Applied Medical Sciences,web,2,2,0,20,0,0,0,1,1,1,113,2,9,0,15,0,0,0,0,0,0,0,0,0,1,0,7,0,27,1,130,0,166,41,32,73
PHY103_40,PHY103_Masked_78,Agriculture,web,2,2,0,13,6,0,0,1,1,2,47,2,22,0,18,0,0,0,0,0,0,0,0,0,2,1,1,0,5,48,59,0,116,39,20,59
PHY103__40,PHY103_Masked_79,Pharmacy,"web, ws",1,1,0,41,2,0,0,1,1,2,140,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,4,182,0,191,44,26,70
PHY103_41,PHY103_Masked_80,Pharmacy,"web, ws",7,7,0,7,3,0,5,1,1,1,64,1,19,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,72,0,153,37,22,59
PHY103__41,PHY103_Masked_81,Agriculture,"web, ws",0,0,0,6,5,0,0,1,1,0,45,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,52,2,63,38,22,60
PHY103_42,PHY103_Masked_82,Agriculture,web,1,1,0,9,3,0,0,1,1,1,55,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,65,0,81,28,22,50
PHY103__42,PHY103_Masked_83,Pharmacy,web,1,1,0,8,3,0,0,0,0,0,0,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,1,15,6,0,28,25,20,45
PHY103_43,PHY103_Masked_84,Pharmacy,"web, ws",1,1,0,12,2,0,0,1,1,1,77,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,4,10,86,0,102,36,32,68
PHY103__43,PHY103_Masked_85,Pharmacy,"web, ws",1,1,0,32,6,0,0,1,1,1,97,1,3,0,29,0,0,0,0,0,0,0,0,0,1,0,6,4,31,16,112,3,173,44,44,88
PHY103_44,PHY103_Masked_86,Applied Medical Sciences,"web, ws",2,2,0,14,5,0,0,1,1,1,107,1,5,1,12,0,0,0,0,0,0,0,0,0,0,0,5,6,2,20,118,1,152,41,18,59
PHY103__44,PHY103_Masked_87,Applied Medical Sciences,"web, ws",1,1,0,18,4,0,1,1,1,1,45,1,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,47,60,5,115,36,30,66
PHY103_45,PHY103_Masked_88,Agriculture,"web, ws",1,1,0,8,0,0,2,1,1,2,25,1,0,0,7,0,0,0,0,0,0,0,0,0,0,5,3,0,0,9,32,0,49,28,36,64
PHY103__45,PHY103_Masked_89,Pharmacy,"web, ws",0,0,0,26,3,0,0,1,1,1,123,0,6,0,16,0,0,0,0,0,0,0,0,0,2,0,4,0,13,14,144,0,177,44,16,60
PHY103_46,PHY103_Masked_90,Pharmacy,"web, ws",1,1,0,15,0,0,2,1,1,1,125,1,8,0,18,0,0,0,0,0,0,0,0,0,3,2,18,2,0,14,134,1,174,46,36,82
PHY103__46,PHY103_Masked_91,Agriculture,web,1,1,0,13,3,0,0,1,1,1,76,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,92,0,107,42,42,84
PHY103_47,PHY103_Masked_92,Pharmacy,ws,2,2,0,13,2,0,2,1,1,2,169,2,0,0,9,0,0,0,0,0,0,0,0,1,0,3,2,0,1,16,181,1,205,40,22,62
PHY103__47,PHY103_Masked_93,Applied Medical Sciences,"web, ws",1,1,0,26,5,0,1,1,1,2,178,1,3,0,13,0,0,0,0,0,0,0,0,3,9,4,10,3,2,13,188,1,233,29,24,53
PHY103_48,PHY103_Masked_94,Agriculture,web,1,1,0,34,10,0,0,1,1,1,82,1,14,0,24,0,0,0,0,0,0,0,0,0,5,1,7,5,2,41,106,3,170,36,16,52
PHY103__48,PHY103_Masked_95,Applied Medical Sciences,"web, ws",3,3,0,33,7,0,5,1,1,1,94,3,14,0,23,0,0,0,0,0,0,0,0,0,1,1,0,3,10,49,124,0,188,26,30,56
PHY103_49,PHY103_Masked_96,Pharmacy,web,1,1,0,8,2,0,0,1,1,1,110,1,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,118,0,133,35,32,67
PHY103__49,PHY103_Masked_97,Agriculture,"web, ws",7,7,0,13,6,0,0,1,1,1,66,3,13,4,37,0,0,0,0,0,0,0,0,0,1,0,7,0,0,73,78,0,159,36,24,60
PHY103_50,PHY103_Masked_98,Pharmacy,"web, ws",1,1,0,11,4,0,0,1,1,1,15,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,1,3,13,25,0,48,38,24,62
PHY103__50,PHY103_Masked_99,Pharmacy,web,0,0,0,74,8,0,3,1,1,1,21,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,95,0,121,28,30,58
PHY103_51,PHY103_Masked_100,Agriculture,web,2,2,0,23,3,0,0,1,1,1,86,1,12,1,17,0,0,0,0,0,0,0,0,0,0,0,10,0,5,28,107,0,150,31,8,39
PHY103__51,PHY103_Masked_101,Applied Medical Sciences,"web, ws",1,1,0,14,8,0,0,1,1,0,177,1,2,0,26,0,0,0,0,0,0,0,0,0,0,1,0,2,8,34,187,0,232,31,24,55
PHY103_52,PHY103_Masked_102,Agriculture,"web, ws",1,1,0,3,4,0,3,1,1,0,146,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,150,0,163,25,30,55
PHY103__52,PHY103_Masked_103,Agriculture,"web, ws",3,3,0,8,8,0,0,1,1,1,56,2,15,1,21,0,0,0,0,0,0,0,0,0,1,0,2,1,5,42,69,0,120,31,34,65
PHY103_53,PHY103_Masked_104,Agriculture,web,1,1,0,42,5,0,5,1,1,1,108,1,3,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,7,13,154,0,176,44,48,92
PHY103__53,PHY103_Masked_105,Pharmacy,web,3,3,0,7,4,0,0,1,1,1,107,2,17,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,116,1,162,37,28,65
PHY103_54,PHY103_Masked_106,Pharmacy,web,1,1,0,42,1,0,0,1,1,1,132,1,25,0,32,0,0,0,0,0,0,0,0,0,0,0,12,7,13,40,160,6,238,45,40,85
PHY103__54,PHY103_Masked_107,Pharmacy,"web, ws",1,1,0,13,1,0,0,1,1,1,151,1,14,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,163,0,192,35,32,67
PHY103_55,PHY103_Masked_108,Agriculture,web,1,1,0,7,2,0,0,1,1,1,25,1,16,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,1,32,30,0,65,38,12,50
PHY103__55,PHY103_Masked_109,Pharmacy,web,1,1,0,10,4,0,0,1,1,1,103,1,21,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,13,31,111,0,156,35,16,51
PHY103_56,PHY103_Masked_110,Agriculture,web,1,1,0,5,5,0,0,1,1,1,108,1,11,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,21,115,0,140,40,22,62
PHY103__56,PHY103_Masked_111,Applied Medical Sciences,ws,1,1,0,7,3,0,0,1,1,1,77,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,9,84,0,97,33,26,59
PHY103_57,PHY103_Masked_112,Applied Medical Sciences,web,1,1,0,42,3,0,0,1,1,1,56,1,43,0,20,0,0,0,0,0,0,0,0,0,8,0,34,1,2,62,63,0,170,34,40,74
PHY103__57,PHY103_Masked_113,Pharmacy,web,2,2,0,10,0,0,1,1,1,1,66,1,24,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,75,0,123,38,36,74
PHY103_58,PHY103_Masked_114,Applied Medical Sciences,"web, ws",3,3,0,10,4,0,0,1,1,1,74,3,0,0,6,0,0,0,0,0,0,0,0,0,0,2,2,1,3,14,84,0,106,37,22,59
PHY103__58,PHY103_Masked_115,Agriculture,"web, ws",1,1,0,59,4,0,3,1,1,1,99,1,0,0,22,0,0,0,0,0,0,0,0,0,2,13,12,11,22,16,112,5,193,29,30,59
PHY103_59,PHY103_Masked_116,Applied Medical Sciences,"web, ws",1,1,0,23,5,0,15,2,2,3,166,1,0,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,16,34,185,0,237,45,0,0
PHY103__59,PHY103_Masked_117,Pharmacy,"web, ws",1,1,0,52,9,0,0,1,1,1,47,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,94,0,127,36,14,50
PHY103_60,PHY103_Masked_118,Pharmacy,"web, ws",1,1,0,9,3,0,0,1,1,2,246,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,5,2,7,12,256,0,282,48,42,90
PHY103__60,PHY103_Masked_119,Pharmacy,"web, ws",3,3,0,45,2,0,0,1,1,1,36,3,0,0,29,0,0,0,0,0,0,0,0,1,1,5,13,3,5,29,66,1,124,45,44,89
PHY103_61,PHY103_Masked_120,Agriculture,"web, ws",1,1,0,12,2,0,0,1,1,1,108,1,0,0,15,0,0,0,0,0,0,0,0,0,0,3,8,2,1,14,114,1,143,23,18,41
PHY103__61,PHY103_Masked_121,Applied Medical Sciences,web,1,1,0,24,8,0,0,1,1,2,96,1,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,1,34,120,0,161,36,10,46
PHY103_62,PHY103_Masked_122,Pharmacy,"web, ws",4,4,0,26,3,0,0,1,1,1,57,3,31,1,37,0,0,0,0,0,0,0,0,0,0,2,8,0,7,85,67,0,169,44,26,70
PHY103__62,PHY103_Masked_123,Applied Medical Sciences,web,0,0,0,4,0,0,0,1,1,1,30,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,36,0,68,33,26,59
PHY103_63,PHY103_Masked_124,Pharmacy,"web, ws",2,2,0,23,1,0,0,1,1,1,138,2,0,0,18,0,0,0,0,0,0,0,0,0,0,3,2,12,5,22,145,0,189,42,28,70
PHY103__63,PHY103_Masked_125,Pharmacy,"web, ws",1,1,0,24,6,0,2,1,1,1,80,1,3,0,35,0,0,0,0,0,0,0,0,0,0,0,3,0,18,34,95,6,156,44,44,88
PHY103_64,PHY103_Masked_126,Agriculture,web,1,1,0,27,4,0,0,1,1,1,34,1,2,0,15,0,0,0,0,0,0,0,0,0,6,0,1,0,0,26,55,0,88,41,44,85
PHY103__64,PHY103_Masked_127,Agriculture,web,0,0,0,19,13,0,0,1,1,1,83,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,2,16,108,0,128,41,22,63
PHY103_65,PHY103_Masked_128,Pharmacy,"web, ws",1,1,0,15,2,0,3,1,1,1,177,1,4,0,20,0,0,0,0,0,0,0,0,0,0,0,6,1,0,19,196,5,227,34,32,66
PHY103__65,PHY103_Masked_129,Pharmacy,"web, ws",3,3,0,56,5,0,1,1,1,1,51,3,0,0,22,0,0,0,0,0,0,0,0,2,3,8,24,1,12,26,68,3,147,46,24,70
PHY103_66,PHY103_Masked_130,Agriculture,"web, ws",1,1,0,28,6,0,0,1,1,0,127,1,1,0,8,0,0,0,0,0,0,0,0,0,3,0,11,0,7,12,141,1,175,45,36,81
PHY103__66,PHY103_Masked_131,Pharmacy,"web, ws",2,2,0,9,3,0,0,1,1,1,140,1,3,1,8,0,0,0,0,0,0,0,0,0,1,2,1,0,4,17,147,0,172,36,42,78
PHY103_67,PHY103_Masked_132,Agriculture,web,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,5,21,20,41
PHY103__67,PHY103_Masked_133,Pharmacy,web,2,2,0,16,1,0,0,2,2,2,77,1,13,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,82,0,128,43,28,71
PHY103_68,PHY103_Masked_134,Pharmacy,web,3,3,0,30,2,0,3,1,1,1,37,2,3,1,18,0,0,0,0,0,0,0,0,1,1,5,15,0,16,15,52,0,105,39,36,75
PHY103__68,PHY103_Masked_135,Pharmacy,"web, ws",3,3,0,18,3,0,0,1,1,1,53,3,3,0,30,0,0,0,0,0,0,0,0,0,0,1,14,1,33,6,64,0,119,37,24,61
PHY103_69,PHY103_Masked_136,Applied Medical Sciences,web,1,1,0,9,5,0,0,1,1,0,79,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,84,0,107,43,28,71
PHY103__69,PHY103_Masked_137,Pharmacy,"web, ws",1,1,0,24,6,0,0,1,1,0,33,1,5,0,10,0,0,0,0,0,0,0,0,0,3,2,0,0,5,27,46,0,83,41,44,85
PHY103_70,PHY103_Masked_138,Agriculture,web,2,2,0,6,0,0,0,1,1,0,110,1,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,118,0,136,33,30,63
PHY103__70,PHY103_Masked_139,Pharmacy,web,2,2,0,10,4,0,0,1,1,1,88,1,8,1,6,0,0,0,0,0,0,0,0,0,0,4,1,3,1,20,96,0,125,37,30,67
PHY103_71,PHY103_Masked_140,Applied Medical Sciences,web,0,0,0,5,3,0,0,1,1,1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,123,0,127,29,21,50
PHY103__71,PHY103_Masked_141,Pharmacy,"web, ws",1,1,0,35,9,0,0,2,2,2,66,1,2,0,9,0,0,0,0,0,0,0,0,0,2,1,2,0,12,41,72,0,130,40,50,90
PHY103_72,PHY103_Masked_142,Agriculture,web,0,0,0,2,7,0,0,1,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,42,0,46,39,26,65
PHY103__72,PHY103_Masked_143,Pharmacy,web,2,2,0,16,2,0,0,1,1,1,50,2,9,0,17,0,0,0,0,0,0,0,0,0,1,2,3,0,3,31,63,0,103,31,26,57
PHY103_73,PHY103_Masked_144,Pharmacy,web,1,1,0,12,5,0,0,1,1,1,39,1,44,0,17,0,0,0,0,0,0,0,0,0,3,0,5,0,1,69,45,0,123,44,48,92
PHY103__73,PHY103_Masked_145,Agriculture,web,1,1,0,40,0,0,6,1,1,1,90,1,2,0,8,0,0,0,0,0,0,0,0,0,1,13,3,0,21,9,102,3,152,34,24,58
PHY103_74,PHY103_Masked_146,Agriculture,web,0,0,0,31,0,0,0,1,1,0,148,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,0,19,3,154,0,183,36,28,64
PHY103__74,PHY103_Masked_147,Agriculture,"web, ws",1,1,0,10,2,0,1,1,1,1,62,1,0,0,10,0,0,0,0,0,0,0,0,0,0,3,5,2,3,8,70,0,91,35,15,50
PHY103_75,PHY103_Masked_148,Pharmacy,"web, ws",1,1,0,12,6,0,0,1,1,0,232,1,3,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,7,19,243,0,274,32,36,68
PHY103__75,PHY103_Masked_149,Pharmacy,web,1,1,0,10,4,0,0,1,1,1,43,1,5,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,5,13,51,0,72,38,46,84
PHY103_76,PHY103_Masked_150,Pharmacy,web,0,0,0,7,0,0,1,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,26,33,22,55
PHY103__76,PHY103_Masked_151,Agriculture,web,0,0,0,9,0,0,0,1,1,0,63,0,14,0,4,0,0,0,0,0,0,0,0,1,2,0,1,1,0,18,69,0,92,25,20,45
PHY103_77,PHY103_Masked_152,Applied Medical Sciences,web,0,0,0,3,3,0,0,1,1,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,206,0,209,18,20,38
PHY103__77,PHY103_Masked_153,Pharmacy,"web, ws",1,1,0,14,3,0,0,1,1,1,109,1,2,0,4,0,0,0,0,0,0,0,0,0,0,2,9,0,2,9,116,0,138,41,28,69
PHY103_78,PHY103_Masked_154,Pharmacy,web,1,1,0,12,2,0,0,1,1,1,34,1,6,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21,45,0,68,40,30,70
